conflict_id,classification,surface,key,addendums,statuses,authority_class,summary,disposition
C0001,currentness,path,CURRENT_PACKAGE_CHANGELOG.md,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,package_meta_or_currentness,Multiple addendums touch repo path CURRENT_PACKAGE_CHANGELOG.md. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0002,currentness,path,MANIFEST.csv,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,package_meta_or_currentness,Multiple addendums touch repo path MANIFEST.csv. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0003,currentness,path,MATERIAL_STATUS.csv,csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,modified,package_meta_or_currentness,Multiple addendums touch repo path MATERIAL_STATUS.csv. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0004,currentness,path,MATERIAL_STATUS.json,csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,modified,package_meta_or_currentness,Multiple addendums touch repo path MATERIAL_STATUS.json. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0005,currentness,path,README.md,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,package_meta_or_currentness,Multiple addendums touch repo path README.md. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0006,structural,path,03_machine_contracts/README.md,csf_p11_repo_relative_patch;regulatory_inspector_RC2_1a_full_snapshot,modified,machine_contract,Multiple addendums touch repo path 03_machine_contracts/README.md. Hashes differ: False.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0007,textual,path,04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,implementation_conformance_support,Multiple addendums touch repo path 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0008,structural,path,04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,implementation_conformance_support,Multiple addendums touch repo path 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0009,textual,path,04_implementation_and_conformance/README.md,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,implementation_conformance_support,Multiple addendums touch repo path 04_implementation_and_conformance/README.md. Hashes differ: True.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0010,currentness,path,CURRENT_ACTIVE_ENTRYPOINT.json,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files,added;modified,package_meta_or_currentness,Multiple addendums touch repo path CURRENT_ACTIVE_ENTRYPOINT.json. Hashes differ: False.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
