mapping_id,payload_id,source_field_or_object,ofarm_target_carrier,mapping_status,evidence_quality,confidence,gap_or_risk,recommended_action
MAP-001,PAY-001,"field_id; field_uuid; field_origin; field_geometry_id; field_geometry_uuid; geometry_name; farm_id; farm_name",Field,partial,adequate,4,"No OFARM durable identity decision or source payload hash.","Use as field identity candidate input with source-origin caveats."
MAP-002,PAY-001,"geometry; geometry_area_m2; geometry_area_ha; field_geometry_origin; effective_start; effective_end; is_active; field_changed_at",PartialExtent,partial,adequate,4,"Geometry quality and disputed geometry policy not proven.","Map geometry versions as extent snapshots with basis and quality caveats."
MAP-003,PAY-002,"scouting_observation_uuid; observation_time; observation_location; observation_type; eppo_name_id; eppo_name; eppo_code_id; issue_severity; impacted_area; comments; person_id; field_id",AgronomicObservationContext,partial,adequate,4,"Method, threshold source, crop stage, revision history, and original payload reference missing.","Map as observation context only; do not infer recommendation or treatment consequence."
MAP-004,PAY-002,"image_urls; comments; person_id; observation_time",EvidenceSufficiencyCase,requires_more_evidence,weak,2,"Image binary custody, hashes, upload metadata, deletion audit and review state missing.","Treat image URLs and comments as caveated evidence references."
MAP-005,PAY-003,"field_operation_planned_id; effective_start; effective_end; coverage_ha; operation_name; primary_category; operation_status; vehicles; implements; materials; persons; crops",InterventionIntentPayload,partial,adequate,4,"Authority class, delegation, product regulatory identity, payload hash and cancellation lineage missing.","Map planned application operations as intent candidates only."
MAP-006,PAY-004,"field_operation_planned_id; effective_start; effective_end; coverage_value; coverage_unit; materials; person_ids; vehicle_ids; implement_ids; status; last_modified_timestamp",ExecutionRecordPayload,partial,adequate,4,"Original machine/controller file, DDI mapping, offline sync metadata, acceptance decision and correction lineage missing.","Map as operation claim/as-applied evidence candidates."
MAP-007,PAY-006,"crop_zone_geometry; operation_zone_geometry; operation_zone_area_m2; operation_zone_area_ha; operation_zone_to_crop_zone_intersection_ratio; crop_zone_to_operation_zone_intersection_ratio",PartialExtent,partial,adequate,4,"Geometry capture basis, GNSS/controller quality, failed-pass geometry and disputed geometry policy missing.","Use as event-bound treatment extent candidates, not automatic durable identities."
MAP-008,PAY-006,"operation_status; operation_start; operation_end; operation_materials; operation_zone_geometry",AcceptedEventConsequence,requires_more_evidence,weak,2,"Promotion decision, review decision, authority check, evidence sufficiency and dispute state missing.","Do not promote actual rows directly to accepted consequences."
MAP-009,PAY-007,"material_id; material_uuid; material_name; category; type; material_sku; base_unit; target_rate; target_rate_unit; is_organic",AgronomicIdentityBinding,partial,adequate,3,"Regulatory authorization, active substance, manufacturer/registrant and scheme version missing.","Map as local material binding only until regulatory/supply-chain bindings are supplied."
MAP-010,PAY-008,"soil_sample_id; soil_sample_geometry; soil_sample_sampling_date; soil_sample_measurement_type; soil_sample_measurement_value",MeasurementEvidence,requires_more_evidence,weak,2,"No live rows; unit, method, lab identity, accreditation, LOD/LOQ, uncertainty and custody missing.","Request actual lab/report samples before mapping accepted measurement evidence."
MAP-011,PAY-004,"field_operation_planned_id; effective_start; effective_end; status; last_modified_timestamp",AgronomicReconstructionTrace,requires_more_evidence,weak,2,"Knowledge cut, source payload chain, correction path, frozen report basis and source-health gate missing.","Build reconstruction traces only after original payload references and correction lineage are available."
